gene_name	transcript_id	se_id	SElet_id	reads_novo_ser	nb_pmt_novo
Gm2a	ENSMUST00000000608	5499	276	34.6410161513775	1
Gm2a	ENSMUST00000000608	5499	283	13.856406460551	1
Gm2a	ENSMUST00000000608	5499	285	53.6935750346352	1
Myo18a	ENSMUST00000000645	5597	320	6.06217782649107	0
E2f1	ENSMUST00000000894	1210	954	17.3205080756888	1
E2f1	ENSMUST00000000894	1210	956	6.92820323027551	1
E2f1	ENSMUST00000000894	1210	957	6.06217782649107	1
Necab3	ENSMUST00000000895	1210	954	64.9519052838329	2
Necab3	ENSMUST00000000895	1210	956	39.8371685740842	2
Necab3	ENSMUST00000000895	1210	957	73.6121593216773	2
Mmp11	ENSMUST00000000924	5091	218	11.4017542509914	1
Mmp11	ENSMUST00000000924	5091	221	18.4182184054476	1
Mmp11	ENSMUST00000000924	5091	224	14.0329283089125	1
Smarcb1	ENSMUST00000000925	5091	218	14.9099863282195	1
Smarcb1	ENSMUST00000000925	5091	221	104.369904297537	1
Smarcb1	ENSMUST00000000925	5091	224	14.0329283089125	1
Smg5	ENSMUST00000001451	1607	1018	1.73205080756888	1
Tmem79	ENSMUST00000001456	1607	1018	0.866025403784439	1
Npepps	ENSMUST00000001480	5711	337	4.33012701892219	1
Npepps	ENSMUST00000001480	5711	339	3.46410161513775	1
Tubb5	ENSMUST00000001566	7784	745	21.650635094611	2
Ergic1	ENSMUST00000001619	7728	708	104.369904297537	1
Ergic1	ENSMUST00000001619	7728	710	100.861672220308	1
Cabin1	ENSMUST00000001712	5091	218	5.19615242270663	1
Cabin1	ENSMUST00000001712	5091	221	13.856406460551	1
Cabin1	ENSMUST00000001712	5091	224	3.46410161513775	1
Gstt1	ENSMUST00000001713	5091	218	5.26234811584218	1
Gstt1	ENSMUST00000001713	5091	221	14.9099863282195	1
Gstt1	ENSMUST00000001713	5091	224	2.63117405792109	1
Rab34	ENSMUST00000002128	5597	316	0.866025403784439	1
Rab34	ENSMUST00000002128	5597	320	0.866025403784439	1
Rab34	ENSMUST00000002128	5597	322	2.59807621135332	1
Hsf2bp	ENSMUST00000002145	7767	729	6.06217782649107	2
Hsf2bp	ENSMUST00000002145	7767	731	48.4974226119286	2
Hsf2bp	ENSMUST00000002145	7767	732	13.856406460551	2
Hsf2bp	ENSMUST00000002145	7767	735	16.4544826719043	2
Hsf2bp	ENSMUST00000002145	7767	737	35.507041555162	2
Hsf2bp	ENSMUST00000002145	7767	738	10.3923048454133	2
Klf4	ENSMUST00000003116	1973	1068	65.7793514480272	1
Klf4	ENSMUST00000003116	1973	1069	37.7134948302023	1
Klf4	ENSMUST00000003116	1973	1070	31.5740886950531	1
Klf4	ENSMUST00000003116	1973	1071	32.4511467143601	1
Elf3	ENSMUST00000003135	449	82	19.2952764247547	1
Elf3	ENSMUST00000003135	449	84	27.1887985985179	1
Elf3	ENSMUST00000003135	449	86	13.1558702896054	1
Elf3	ENSMUST00000003135	449	87	17.5411603861406	1
Elf3	ENSMUST00000003135	449	89	22.8035085019828	1
Atp5d	ENSMUST00000003156	5111	235	41.2217269074304	1
Atp5d	ENSMUST00000003156	5111	237	6.13940613514921	1
Foxj2	ENSMUST00000003238	3349	1297	19.2952764247547	1
Foxj2	ENSMUST00000003238	3349	1300	21.0493924633687	1
Foxj2	ENSMUST00000003238	3347	1279	5.19615242270663	1
Foxj2	ENSMUST00000003238	3347	1280	31.1769145362398	1
Foxj2	ENSMUST00000003238	3348	1281	0	1
Foxj2	ENSMUST00000003238	3348	1283	7.79422863405995	1
Foxj2	ENSMUST00000003238	3348	1289	11.2583302491977	1
Foxj2	ENSMUST00000003238	3348	1292	6.06217782649107	1
Foxj2	ENSMUST00000003238	3348	1293	20.7846096908265	1
Ddr1	ENSMUST00000003628	7784	745	50.2294734194974	2
Mxi1	ENSMUST00000003870	8519	885	34.6410161513775	1
Gys1	ENSMUST00000003964	3568	1356	41.5692193816531	2
Rpl8	ENSMUST00000004072	7248	616	2.59807621135332	1
Rpl8	ENSMUST00000004072	7248	617	0	1
Rpl8	ENSMUST00000004072	7248	620	2.59807621135332	1
Rpl8	ENSMUST00000004072	7248	628	0.866025403784439	1
Dnajb11	ENSMUST00000004574	7434	670	5.19615242270663	1
Dnajb11	ENSMUST00000004574	7434	671	5.19615242270663	1
Dnajb11	ENSMUST00000004574	7434	672	12.1243556529821	1
Tbccd1	ENSMUST00000004576	7434	670	5.19615242270663	1
Tbccd1	ENSMUST00000004576	7434	671	5.19615242270663	1
Tbccd1	ENSMUST00000004576	7434	672	12.1243556529821	1
Cnn2	ENSMUST00000004784	5111	235	64.9022934287202	1
Cnn2	ENSMUST00000004784	5111	237	15.7870443475265	1
Polr2e	ENSMUST00000004786	5111	235	98.181561312059	1
Polr2e	ENSMUST00000004786	5111	237	15.8960623076667	1
Klf5	ENSMUST00000005279	6957	564	29.819972656439	1
Klf5	ENSMUST00000005279	6957	565	47.3611330425796	1
Klf5	ENSMUST00000005279	6957	567	28.942914637132	1
Senp3	ENSMUST00000005336	5565	308	172.051497918275	1
Senp3	ENSMUST00000005336	5565	310	66.6564094673342	1
Trim28	ENSMUST00000005705	3481	1343	20.5713747510981	1
Chmp2a	ENSMUST00000005711	3481	1343	44.8829994569413	1
Ube2m	ENSMUST00000005714	3481	1343	44.8829994569413	1
Zbtb17	ENSMUST00000006377	2292	1144	12.9903810567666	1
Zbtb17	ENSMUST00000006377	2292	1145	6.92820323027551	1
Fam131c	ENSMUST00000006380	2291	1136	27.1887985985179	1
Fam131c	ENSMUST00000006380	2291	1141	6.13940613514921	1
Fam131c	ENSMUST00000006380	2292	1144	6.06217782649107	1
Fam131c	ENSMUST00000006380	2292	1145	4.33012701892219	1
Fblim1	ENSMUST00000006381	2292	1144	0.87705801930703	1
Fblim1	ENSMUST00000006381	2292	1145	1.75411603861406	1
Fblim1	ENSMUST00000006381	2291	1136	5.19615242270663	1
Fblim1	ENSMUST00000006381	2291	1141	1.73205080756888	1
Wbp7	ENSMUST00000006470	3525	1349	10.3923048454133	1
Epha2	ENSMUST00000006614	2291	1136	79.4803115383335	1
Epha2	ENSMUST00000006614	2291	1141	73.8699366062158	1
Epha2	ENSMUST00000006614	2292	1144	17.3205080756888	1
Epha2	ENSMUST00000006614	2292	1145	7.79422863405995	1
Pdk1	ENSMUST00000006669	931	939	4.33012701892219	1
Pdk1	ENSMUST00000006669	931	940	6.06217782649107	1
Aplp1	ENSMUST00000006828	3525	1349	124.363310995275	1
Ctnnb1	ENSMUST00000007130	4797	1553	8.66025403784439	1
Ctnnb1	ENSMUST00000007130	4797	1559	6.06217782649107	1
Mrpl49	ENSMUST00000007482	8324	856	0	1
Mrpl49	ENSMUST00000007482	8324	857	0.866025403784439	1
Bcl2l1	ENSMUST00000007803	1198	947	82.4434538148608	1
Bcl2l1	ENSMUST00000007803	1198	946	0.866025403784439	1
Carhsp1	ENSMUST00000008537	7359	659	48.2381910618866	1
Carhsp1	ENSMUST00000008537	7359	664	20.1723344440617	1
Carhsp1	ENSMUST00000008537	7359	667	16.4544826719043	1
Carhsp1	ENSMUST00000008537	7359	668	14.7224318643355	1
Rab25	ENSMUST00000008745	1607	1018	25.4346825599039	1
Ubqln4	ENSMUST00000008748	1607	1018	55.1686868324903	1
Gabpa	ENSMUST00000009120	7597	686	3.50823207722812	1
Gabpa	ENSMUST00000009120	7597	687	1.75411603861406	1
Gabpa	ENSMUST00000009120	7597	688	8.77058019307029	1
Gabpa	ENSMUST00000009120	7597	693	24.5576245405968	1
Gabpa	ENSMUST00000009120	7597	694	0	1
Derl3	ENSMUST00000009236	5091	218	20.5713747510981	1
Derl3	ENSMUST00000009236	5091	221	52.3634993664315	1
Derl3	ENSMUST00000009236	5091	224	12.1558123529216	1
P4ha1	ENSMUST00000009789	5021	183	7.79422863405995	1
P4ha1	ENSMUST00000009789	5021	184	6.92820323027551	1
P4ha1	ENSMUST00000009789	5021	186	1.73205080756888	1
P4ha1	ENSMUST00000009789	5021	188	0.866025403784439	1
Kcnd1	ENSMUST00000009875	8554	1567	1.73205080756888	1
Kcnd1	ENSMUST00000009875	8554	1571	6.06217782649107	1
Dhdh	ENSMUST00000011526	3568	1356	46.4840750232726	1
Nanog	ENSMUST00000012540	3348	1281	3.74024995474511	1
Nanog	ENSMUST00000012540	3348	1283	82.2854990043923	1
Nanog	ENSMUST00000012540	3348	1289	79.4803115383335	1
Nanog	ENSMUST00000012540	3348	1292	55.1686868324903	1
Nanog	ENSMUST00000012540	3348	1293	145.869748235059	1
Nanog	ENSMUST00000012540	3347	1279	10.5246962316844	1
Nanog	ENSMUST00000012540	3347	1280	27.1887985985179	1
Nanog	ENSMUST00000012540	3349	1297	22.8035085019828	1
Nanog	ENSMUST00000012540	3349	1300	23.6805665212898	1
Clip3	ENSMUST00000014065	3525	1349	11.2583302491977	1
Pigl	ENSMUST00000014389	5533	287	12.2788122702984	1
Lass2	ENSMUST00000015858	1626	1022	0	1
Lass2	ENSMUST00000015858	1626	1027	1.73205080756888	1
Lass2	ENSMUST00000015858	1626	1028	3.46410161513775	1
Lass2	ENSMUST00000015858	1626	1030	3.46410161513775	1
Med24	ENSMUST00000017354	5719	341	0.866025403784439	1
Nek8	ENSMUST00000017549	5597	316	7.79422863405995	1
Nek8	ENSMUST00000017549	5597	320	19.0525588832576	1
Nek8	ENSMUST00000017549	5597	322	24.2487113059643	1
Plxdc1	ENSMUST00000017561	5711	337	7.79422863405995	1
Plxdc1	ENSMUST00000017561	5711	339	6.92820323027551	1
Pipox	ENSMUST00000017597	5597	316	47.6881869230001	1
Pipox	ENSMUST00000017597	5597	320	47.6881869230001	1
Pipox	ENSMUST00000017597	5597	322	143.064560769	1
Timp2	ENSMUST00000017610	5831	371	12.1243556529821	1
Timp2	ENSMUST00000017610	5831	373	1.73205080756888	1
Igfbp4	ENSMUST00000017637	5719	341	15.7870443475265	1
Pgs1	ENSMUST00000017859	5831	371	500.258431447158	1
Pgs1	ENSMUST00000017859	5831	373	243.116247058432	1
Ift52	ENSMUST00000018002	1256	959	105.662061221549	1
Ift52	ENSMUST00000018002	1256	960	83.2205614930786	1
Ift52	ENSMUST00000018002	1257	963	55.2546552163429	1
Ift52	ENSMUST00000018002	1257	967	71.0416995638694	1
Ift52	ENSMUST00000018002	1257	969	43.8529009653515	1
Ift52	ENSMUST00000018002	1257	970	31.5740886950531	1
Mybl2	ENSMUST00000018005	1256	959	50.4933743890589	1
Mybl2	ENSMUST00000018005	1256	960	46.7531244343138	1
Mybl2	ENSMUST00000018005	1257	963	71.9998116288433	1
Mybl2	ENSMUST00000018005	1257	967	71.9998116288433	1
Mybl2	ENSMUST00000018005	1257	969	98.181561312059	1
Mybl2	ENSMUST00000018005	1257	970	37.4024995474511	1
Sgk2	ENSMUST00000018012	1257	963	16.6641023668336	1
Sgk2	ENSMUST00000018012	1257	967	10.5246962316844	1
Sgk2	ENSMUST00000018012	1257	969	18.4182184054476	1
Sgk2	ENSMUST00000018012	1257	970	6.13940613514921	1
Tnip1	ENSMUST00000018482	5499	276	37.4024995474511	1
Tnip1	ENSMUST00000018482	5499	285	94.4413113573139	1
Ncor1	ENSMUST00000018645	5533	287	12.2788122702984	1
Trpv2	ENSMUST00000018651	5533	287	9.64763821237733	1
Cenpv	ENSMUST00000018653	5533	287	27.1887985985179	1
Pcgf2	ENSMUST00000018681	5711	337	83.3205118341678	1
Pcgf2	ENSMUST00000018681	5711	339	108.755194394072	1
Cwc25	ENSMUST00000018685	5711	337	11.2583302491977	1
Cwc25	ENSMUST00000018685	5711	339	12.9903810567666	1
Pip4k2b	ENSMUST00000018691	5711	337	30.697030675746	1
Pip4k2b	ENSMUST00000018691	5711	339	49.1152490811937	1
2810408A11Rik	ENSMUST00000018714	5565	308	22.5166604983954	1
2810408A11Rik	ENSMUST00000018714	5565	310	6.06217782649107	1
Tbx3	ENSMUST00000018748	2754	1217	305.765433800412	1
Tbx3	ENSMUST00000018748	2754	1218	256.20712190004	1
Tbx3	ENSMUST00000018748	2754	1221	100.051686289432	1
Tbx3	ENSMUST00000018748	2754	1223	82.2854990043923	1
Tbx3	ENSMUST00000018748	2754	1225	32.7271871040197	1
Tbx3	ENSMUST00000018748	2752	1216	106.124020336151	1
Tbx3	ENSMUST00000018748	2754	1233	103.492846278229	1
Slc25a39	ENSMUST00000018821	5741	347	11.4017542509914	1
Dync1h1	ENSMUST00000018851	6188	461	28.942914637132	1
Dync1h1	ENSMUST00000018851	6186	452	14.7224318643355	1
Dync1h1	ENSMUST00000018851	6188	457	5.19615242270663	1
Dync1h1	ENSMUST00000018851	6188	459	45.0333209967908	1
Mpdu1	ENSMUST00000018905	5565	308	50.8693651198077	2
Mpdu1	ENSMUST00000018905	5565	310	19.2952764247547	2
Cd68	ENSMUST00000018918	5565	308	50.8693651198077	2
Cd68	ENSMUST00000018918	5565	310	19.2952764247547	2
Ywhah	ENSMUST00000019109	2465	1178	0.866025403784439	1
Plod1	ENSMUST00000019199	2317	1163	13.856406460551	2
Plod1	ENSMUST00000019199	2317	1167	1.73205080756888	2
Gtf3c6	ENSMUST00000019982	4954	177	41.1427495021962	1
Reep3	ENSMUST00000020023	5059	209	8.41556239817649	1
Reep3	ENSMUST00000020023	5059	210	66.3894366967256	1
Reep3	ENSMUST00000020023	5059	214	1.87012497737255	1
Reep3	ENSMUST00000020023	5054	206	0	1
Anapc16	ENSMUST00000020307	5021	183	19.2952764247547	1
Anapc16	ENSMUST00000020307	5021	184	9.64763821237733	1
Anapc16	ENSMUST00000020307	5021	186	23.6805665212898	1
Anapc16	ENSMUST00000020307	5021	188	14.9099863282195	1
Ddit4	ENSMUST00000020308	5021	183	70.1296866514707	1
Ddit4	ENSMUST00000020308	5021	184	69.1946241627845	1
Ddit4	ENSMUST00000020308	5021	186	64.5193117193531	1
Ddit4	ENSMUST00000020308	5021	188	35.5323745700785	1
Hint1	ENSMUST00000020504	5499	276	24.5576245405968	1
Hint1	ENSMUST00000020504	5499	283	31.5740886950531	1
Hint1	ENSMUST00000020504	5499	285	59.639945312878	1
Vdac1	ENSMUST00000020673	5484	270	87.89587393651	1
Upp1	ENSMUST00000020677	5325	244	20.7846096908265	1
Upp1	ENSMUST00000020677	5325	246	13.856406460551	1
Upp1	ENSMUST00000020677	5325	247	16.4544826719043	1
Upp1	ENSMUST00000020677	5325	248	58.0237020535574	1
Hus1	ENSMUST00000020683	5331	250	152.420471066061	1
Tns3	ENSMUST00000020695	5325	244	4.38529009653515	1
Tns3	ENSMUST00000020695	5325	246	12.2788122702984	1
Tns3	ENSMUST00000020695	5325	247	6.13940613514921	1
Tns3	ENSMUST00000020695	5325	248	23.6805665212898	1
Sec14l1	ENSMUST00000021177	5819	367	19.6363122624118	1
Sec14l1	ENSMUST00000021177	5819	365	32.4511467143601	1
Med24	ENSMUST00000021257	5719	341	0.866025403784439	1
1110008L16Rik	ENSMUST00000021411	6000	393	30.3108891324554	1
1110008L16Rik	ENSMUST00000021411	6000	399	0.866025403784439	1
1110008L16Rik	ENSMUST00000021411	6000	405	6.92820323027551	1
Psma6	ENSMUST00000021412	6000	393	51.7464231391147	0
Nfkbia	ENSMUST00000021413	6000	393	44.8829994569413	1
Nfkbia	ENSMUST00000021413	6000	399	101.921811266804	1
Nfkbia	ENSMUST00000021413	6000	405	39.2726245248236	1
Golga5	ENSMUST00000021609	6151	444	6.92820323027551	1
Golga5	ENSMUST00000021609	6151	450	16.4544826719043	1
Chga	ENSMUST00000021610	6151	444	11.2583302491977	1
Chga	ENSMUST00000021610	6151	450	11.2583302491977	1
Stk30	ENSMUST00000021701	6186	452	8.66025403784439	1
F2rl1	ENSMUST00000022185	6544	468	83.2205614930786	1
F2rl1	ENSMUST00000022185	6544	471	165.506060497471	1
F2rl1	ENSMUST00000022185	6544	472	54.233624343804	1
Aggf1	ENSMUST00000022189	6544	468	33.7749907475931	1
Aggf1	ENSMUST00000022189	6544	471	39.8371685740842	1
Aggf1	ENSMUST00000022189	6544	472	13.856406460551	1
Tdh	ENSMUST00000022522	6859	521	128.10356095002	1
Tdh	ENSMUST00000022522	6859	524	48.6232494116864	1
Pibf1	ENSMUST00000022650	6957	564	11.2583302491977	1
Pibf1	ENSMUST00000022650	6957	565	17.3205080756888	1
Pibf1	ENSMUST00000022650	6957	567	7.79422863405995	1
Fam160b2	ENSMUST00000022690	6887	535	13.0908748416079	1
Fam160b2	ENSMUST00000022690	6887	537	7.01646415445624	1
Fam160b2	ENSMUST00000022690	6887	542	8.77058019307029	1
Fam160b2	ENSMUST00000022690	6887	545	52.6234811584218	1
Hr	ENSMUST00000022691	6887	535	18.4182184054476	2
Hr	ENSMUST00000022691	6887	537	16.6641023668336	2
Hr	ENSMUST00000022691	6887	542	15.7870443475265	2
Hr	ENSMUST00000022691	6887	545	35.9593787915882	2
Bmp1	ENSMUST00000022693	6887	535	4.33012701892219	1
Bmp1	ENSMUST00000022693	6887	537	7.79422863405995	1
Bmp1	ENSMUST00000022693	6887	542	12.1243556529821	1
Bmp1	ENSMUST00000022693	6887	545	9.52627944162882	1
Epb4.9	ENSMUST00000022694	6887	545	112.207498642353	0
Fgf17	ENSMUST00000022697	6887	535	67.3244991854119	1
Fgf17	ENSMUST00000022697	6887	537	58.9089367872354	1
Fgf17	ENSMUST00000022697	6887	542	53.2985618551177	1
Dok2	ENSMUST00000022698	6887	545	23.3826859021798	0
Spry2	ENSMUST00000022709	6982	581	9.35062488686276	1
Spry2	ENSMUST00000022709	6981	572	6.13940613514921	1
Spry2	ENSMUST00000022709	6981	575	4.38529009653515	1
Spry2	ENSMUST00000022709	6981	576	1.75411603861406	1
Bcl2l2	ENSMUST00000022806	6815	518	19.0525588832576	2
Ngdn	ENSMUST00000022815	6815	518	37.7134948302023	1
Fam134b	ENSMUST00000022881	7104	588	16.6641023668336	1
Fam134b	ENSMUST00000022881	7104	589	11.4017542509914	1
Fam134b	ENSMUST00000022881	7104	591	7.01646415445624	1
Fam134b	ENSMUST00000022881	7104	593	22.8035085019828	1
Fam134b	ENSMUST00000022881	7104	595	6.13940613514921	1
Fam134b	ENSMUST00000022881	7104	598	4.38529009653515	1
Fam134b	ENSMUST00000022881	7104	601	6.13940613514921	1
Fam134b	ENSMUST00000022881	7104	605	3.50823207722812	1
Fam134b	ENSMUST00000022881	7104	586	17.3205080756888	1
Brd1	ENSMUST00000023022	7285	632	150.54506067849	1
Itga5	ENSMUST00000023128	7343	656	9.52627944162882	1
Itga5	ENSMUST00000023128	7343	658	14.7224318643355	1
Ppp1r1a	ENSMUST00000023133	7343	656	22.4414997284706	1
Ppp1r1a	ENSMUST00000023133	7343	658	62.6491867419805	1
1810013L24Rik	ENSMUST00000023150	7359	659	24.5576245405968	1
1810013L24Rik	ENSMUST00000023150	7359	664	11.4017542509914	1
1810013L24Rik	ENSMUST00000023150	7359	667	6.13940613514921	1
1810013L24Rik	ENSMUST00000023150	7359	668	11.4017542509914	1
Rfc4	ENSMUST00000023598	7434	670	23.6805665212898	1
Rfc4	ENSMUST00000023598	7434	671	15.7870443475265	1
Rfc4	ENSMUST00000023598	7434	672	64.0252354094132	1
Eif4a2	ENSMUST00000023599	7434	670	100.986748778118	3
Eif4a2	ENSMUST00000023599	7434	671	164.570998008785	3
Eif4a2	ENSMUST00000023599	7434	672	296.41480891355	3
Atp5j	ENSMUST00000023608	7597	686	3.50823207722812	1
Atp5j	ENSMUST00000023608	7597	687	1.75411603861406	1
Atp5j	ENSMUST00000023608	7597	688	8.77058019307029	1
Atp5j	ENSMUST00000023608	7597	693	13.1558702896054	1
Atp5j	ENSMUST00000023608	7597	694	0	1
Cdkn1a	ENSMUST00000023829	7747	719	38.3375620361373	1
Cdkn1a	ENSMUST00000023829	7747	720	39.2726245248236	1
Tulp2	ENSMUST00000024233	3568	1356	31.5740886950531	1
Spats1	ENSMUST00000024731	7812	766	60.779061764608	1
Spats1	ENSMUST00000024731	7812	768	195.428060135432	1
Aars2	ENSMUST00000024733	7812	766	23.6805665212898	1
Aars2	ENSMUST00000024733	7812	768	74.5499316410975	1
Med20	ENSMUST00000024778	7822	779	47.3611330425796	1
Med20	ENSMUST00000024778	7822	770	35.507041555162	1
Med20	ENSMUST00000024778	7822	772	32.9089653438087	1
Med20	ENSMUST00000024778	7822	776	19.0525588832576	1
Usp49	ENSMUST00000024779	7822	770	58.0237020535574	1
Usp49	ENSMUST00000024779	7822	772	27.712812921102	1
Usp49	ENSMUST00000024779	7822	776	25.9807621135332	1
Usp49	ENSMUST00000024779	7822	779	31.1769145362398	1
Bysl	ENSMUST00000024783	7822	779	47.3611330425796	1
Bysl	ENSMUST00000024783	7822	770	35.507041555162	1
Bysl	ENSMUST00000024783	7822	772	32.9089653438087	1
Bysl	ENSMUST00000024783	7822	776	19.0525588832576	1
Pim1	ENSMUST00000024811	7752	725	1.75411603861406	1
Sik1	ENSMUST00000024839	7767	729	1.75411603861406	1
Sik1	ENSMUST00000024839	7767	731	6.13940613514921	1
Sik1	ENSMUST00000024839	7767	732	0.87705801930703	1
Sik1	ENSMUST00000024839	7767	735	6.13940613514921	1
Sik1	ENSMUST00000024839	7767	737	16.6641023668336	1
Sik1	ENSMUST00000024839	7767	738	0	1
Dusp1	ENSMUST00000025025	7728	708	472.20655678657	1
Dusp1	ENSMUST00000025025	7728	710	159.895685565353	1
Pou5f1	ENSMUST00000025271	7784	745	199.168310090177	1
Ndfip1	ENSMUST00000025293	8136	817	9.64763821237733	1
Ndfip1	ENSMUST00000025293	8136	820	9.64763821237733	1
Ndfip1	ENSMUST00000025293	8136	822	60.517003332185	1
Spry4	ENSMUST00000025295	8140	827	83.3205118341678	1
Spry4	ENSMUST00000025295	8140	831	221.018620865371	1
Spry4	ENSMUST00000025295	8140	832	69.2875835252553	1
Gabbr1	ENSMUST00000025338	7792	749	23.6805665212898	1
Gabbr1	ENSMUST00000025338	7792	754	98.2304981623873	1
Gabbr1	ENSMUST00000025338	7794	758	225.403910961907	1
Gabbr1	ENSMUST00000025338	7794	763	64.9022934287202	1
Il17b	ENSMUST00000025471	8209	835	30.697030675746	1
Frmd8	ENSMUST00000025728	8324	856	0.87705801930703	1
Frmd8	ENSMUST00000025728	8324	857	8.77058019307029	1
Dmrt1	ENSMUST00000025755	8399	882	29.9219996379608	1
Rela	ENSMUST00000025867	8324	856	2.59807621135332	1
Rela	ENSMUST00000025867	8324	857	7.79422863405995	1
Sssca1	ENSMUST00000025885	8324	856	2.59807621135332	1
Sssca1	ENSMUST00000025885	8324	857	11.2583302491977	1
Paox	ENSMUST00000026537	3890	1419	6.06217782649107	1
Paox	ENSMUST00000026537	3890	1420	5.19615242270663	1
Paox	ENSMUST00000026537	3890	1423	9.52627944162882	1
Adam8	ENSMUST00000026546	3890	1419	52.6234811584218	1
Adam8	ENSMUST00000026546	3890	1420	40.3446688881234	1
Adam8	ENSMUST00000026546	3890	1423	79.8122797569397	1
Smad7	ENSMUST00000026999	8260	838	26.1817496832157	1
Smad7	ENSMUST00000026999	8261	841	83.2205614930786	1
Smad7	ENSMUST00000026999	8261	844	219.739684841275	1
Tmem131	ENSMUST00000027290	108	32	20.1723344440617	1
Trip12	ENSMUST00000027421	282	47	10.285687375549	1
Trip12	ENSMUST00000027421	282	48	17.7661872850393	1
Trip12	ENSMUST00000027421	282	53	14.9099863282195	1
Trip12	ENSMUST00000027421	282	54	9.64763821237733	1
Trip12	ENSMUST00000027421	282	56	18.4182184054476	1
Tcfcp2l1	ENSMUST00000027629	368	68	75.7400615835884	1
Nr5a2	ENSMUST00000027649	466	102	18.7012497737255	1
Nr5a2	ENSMUST00000027649	466	105	67.3244991854119	1
Nr5a2	ENSMUST00000027649	466	107	62.6491867419805	1
Nr5a2	ENSMUST00000027649	466	109	347.843245791295	1
Lamc1	ENSMUST00000027752	508	112	38.9711431702997	1
Lamc1	ENSMUST00000027752	508	113	31.1769145362398	1
Tmem63a	ENSMUST00000027800	611	145	329.141996017569	1
Tmem63a	ENSMUST00000027800	610	141	107.001078355458	1
Pycr2	ENSMUST00000027802	610	141	453.505307012844	1
Pycr2	ENSMUST00000027802	611	145	99.1166238007453	1
Uck2	ENSMUST00000027839	559	127	100.986748778118	1
Uck2	ENSMUST00000027839	559	129	13.0908748416079	1
Uck2	ENSMUST00000027839	559	138	37.4024995474511	1
Gpa33	ENSMUST00000027847	556	124	233.765622171569	1
Gpa33	ENSMUST00000027847	556	125	408.622307555903	1
Pou2f1	ENSMUST00000027850	556	117	10.3923048454133	1
Pou2f1	ENSMUST00000027850	556	124	5.19615242270663	1
Pou2f1	ENSMUST00000027850	556	125	13.856406460551	1
Aldh9a1	ENSMUST00000028004	559	127	64.0252354094132	2
Aldh9a1	ENSMUST00000028004	559	129	10.5246962316844	2
Aldh9a1	ENSMUST00000028004	559	137	21.9264504826757	2
Aldh9a1	ENSMUST00000028004	559	138	26.3117405792109	2
Mgst3	ENSMUST00000028005	559	127	6.06217782649107	1
Mgst3	ENSMUST00000028005	559	129	1.73205080756888	1
Mgst3	ENSMUST00000028005	559	137	5.19615242270663	1
Mgst3	ENSMUST00000028005	559	138	6.92820323027551	1
Zbtb43	ENSMUST00000028125	817	931	18.7012497737255	1
Zbtb43	ENSMUST00000028125	817	917	29.819972656439	1
Zbtb43	ENSMUST00000028125	817	919	20.1723344440617	1
Zbtb43	ENSMUST00000028125	817	920	49.9923071005007	1
Zbtb43	ENSMUST00000028125	817	923	18.4182184054476	1
Zbtb43	ENSMUST00000028125	817	925	7.01646415445624	1
Slc2a8	ENSMUST00000028129	817	917	15.5884572681199	1
Slc2a8	ENSMUST00000028129	817	919	3.46410161513775	1
Slc2a8	ENSMUST00000028129	817	920	8.66025403784439	1
Slc2a8	ENSMUST00000028129	817	923	3.46410161513775	1
Slc2a8	ENSMUST00000028129	817	925	0	1
Slc2a8	ENSMUST00000028129	817	931	1.73205080756888	1
Itga6	ENSMUST00000028522	931	940	9.64763821237733	0
Tpx2	ENSMUST00000028969	1198	946	14.7224318643355	2
Tpx2	ENSMUST00000028969	1198	947	82.2724133595217	2
Atp9a	ENSMUST00000029060	1300	979	17.7661872850393	1
Atp9a	ENSMUST00000029060	1300	984	9.64763821237733	1
Atp9a	ENSMUST00000029060	1300	990	16.6641023668336	1
Sall4	ENSMUST00000029061	1300	979	13.0908748416079	1
Sall4	ENSMUST00000029061	1300	984	15.8960623076667	1
Sall4	ENSMUST00000029061	1300	990	4.67531244343138	1
Trim33	ENSMUST00000029444	1658	1044	24.5576245405968	1
Trim33	ENSMUST00000029444	1658	1048	22.8035085019828	1
Rit1	ENSMUST00000029692	1607	1018	6.06217782649107	1
Arhgef2	ENSMUST00000029694	1607	1018	23.6805665212898	1
2810403A07Rik	ENSMUST00000029696	1607	1018	9.52627944162882	1
Rnf115	ENSMUST00000029740	1629	1033	44.1672955930064	1
Polr3c	ENSMUST00000029741	1629	1033	44.1672955930064	1
Nudt17	ENSMUST00000029742	1630	1037	33.3282047336671	1
Rprd2	ENSMUST00000029751	1626	1027	0.866025403784439	1
Rprd2	ENSMUST00000029751	1626	1028	6.92820323027551	1
Rprd2	ENSMUST00000029751	1626	1030	4.33012701892219	1
Tars2	ENSMUST00000029752	1626	1027	9.64763821237733	1
Tars2	ENSMUST00000029752	1626	1028	14.0329283089125	1
Tars2	ENSMUST00000029752	1626	1030	11.4017542509914	1
Tars2	ENSMUST00000029752	1626	1022	12.9903810567666	1
Ecm1	ENSMUST00000029753	1626	1022	9.64763821237733	1
Ecm1	ENSMUST00000029753	1626	1027	21.9264504826757	1
Ecm1	ENSMUST00000029753	1626	1028	7.01646415445624	1
Ecm1	ENSMUST00000029753	1626	1030	28.942914637132	1
Pum1	ENSMUST00000030315	2223	1096	4.38529009653515	1
